date,sku,channel,units_sold,price,promo_flag
2024-01-01,FB_LATTE_VAN,retail,42,10.25,0
2024-01-02,FB_LATTE_VAN,retail,49,10.25,0
2024-01-03,FB_LATTE_VAN,retail,51,10.25,0
2024-01-04,FB_LATTE_VAN,retail,46,10.25,0
2024-01-05,FB_LATTE_VAN,retail,42,10.25,0
2024-01-06,FB_LATTE_VAN,retail,50,10.25,0
2024-01-07,FB_LATTE_VAN,retail,54,10.25,0
2024-01-08,FB_LATTE_VAN,retail,48,10.25,0
2024-01-09,FB_LATTE_VAN,retail,44,10.25,0
2024-01-10,FB_LATTE_VAN,retail,49,10.25,0
2024-01-11,FB_LATTE_VAN,retail,51,10.25,0
2024-01-12,FB_LATTE_VAN,retail,65,8.71,1
2024-01-13,FB_LATTE_VAN,retail,56,10.25,0
2024-01-14,FB_LATTE_VAN,retail,55,10.25,0
2024-01-15,FB_LATTE_VAN,retail,40,10.25,0
2024-01-16,FB_LATTE_VAN,retail,65,8.71,1
2024-01-17,FB_LATTE_VAN,retail,53,10.25,0
2024-01-18,FB_LATTE_VAN,retail,36,10.25,0
2024-01-19,FB_LATTE_VAN,retail,58,10.25,0
2024-01-20,FB_LATTE_VAN,retail,44,10.25,0
2024-01-21,FB_LATTE_VAN,retail,64,10.25,0
2024-01-22,FB_LATTE_VAN,retail,48,10.25,0
2024-01-23,FB_LATTE_VAN,retail,55,10.25,0
2024-01-24,FB_LATTE_VAN,retail,49,10.25,0
2024-01-25,FB_LATTE_VAN,retail,45,10.25,0
2024-01-26,FB_LATTE_VAN,retail,43,10.25,0
2024-01-27,FB_LATTE_VAN,retail,52,10.25,0
2024-01-28,FB_LATTE_VAN,retail,66,10.25,0
2024-01-29,FB_LATTE_VAN,retail,56,10.25,0
2024-01-30,FB_LATTE_VAN,retail,50,10.25,0
2024-01-31,FB_LATTE_VAN,retail,45,10.25,0
2024-02-01,FB_LATTE_VAN,retail,47,10.25,0
2024-02-02,FB_LATTE_VAN,retail,47,10.25,0
2024-02-03,FB_LATTE_VAN,retail,55,10.25,0
2024-02-04,FB_LATTE_VAN,retail,59,10.25,0
2024-02-05,FB_LATTE_VAN,retail,44,10.25,0
2024-02-06,FB_LATTE_VAN,retail,44,10.25,0
2024-02-07,FB_LATTE_VAN,retail,49,10.25,0
2024-02-08,FB_LATTE_VAN,retail,60,10.25,0
2024-02-09,FB_LATTE_VAN,retail,43,10.25,0
2024-02-10,FB_LATTE_VAN,retail,52,10.25,0
2024-02-11,FB_LATTE_VAN,retail,62,10.25,0
2024-02-12,FB_LATTE_VAN,retail,38,10.25,0
2024-02-13,FB_LATTE_VAN,retail,42,10.25,0
2024-02-14,FB_LATTE_VAN,retail,53,10.25,0
2024-02-15,FB_LATTE_VAN,retail,43,10.25,0
2024-02-16,FB_LATTE_VAN,retail,53,10.25,0
2024-02-17,FB_LATTE_VAN,retail,49,10.25,0
2024-02-18,FB_LATTE_VAN,retail,72,10.25,0
2024-02-19,FB_LATTE_VAN,retail,52,10.25,0
2024-02-20,FB_LATTE_VAN,retail,50,10.25,0
2024-02-21,FB_LATTE_VAN,retail,86,8.71,1
2024-02-22,FB_LATTE_VAN,retail,46,10.25,0
2024-02-23,FB_LATTE_VAN,retail,59,10.25,0
2024-02-24,FB_LATTE_VAN,retail,62,10.25,0
2024-02-25,FB_LATTE_VAN,retail,70,10.25,0
2024-02-26,FB_LATTE_VAN,retail,60,8.71,1
2024-02-27,FB_LATTE_VAN,retail,64,8.71,1
2024-02-28,FB_LATTE_VAN,retail,52,10.25,0
2024-02-29,FB_LATTE_VAN,retail,43,10.25,0
2024-03-01,FB_LATTE_VAN,retail,52,10.25,0
2024-03-02,FB_LATTE_VAN,retail,60,10.25,0
2024-03-03,FB_LATTE_VAN,retail,53,10.25,0
2024-03-04,FB_LATTE_VAN,retail,47,10.25,0
2024-03-05,FB_LATTE_VAN,retail,56,10.25,0
2024-03-06,FB_LATTE_VAN,retail,49,10.25,0
2024-03-07,FB_LATTE_VAN,retail,44,10.25,0
2024-03-08,FB_LATTE_VAN,retail,46,10.25,0
2024-03-09,FB_LATTE_VAN,retail,57,10.25,0
2024-03-10,FB_LATTE_VAN,retail,68,10.25,0
2024-03-11,FB_LATTE_VAN,retail,57,10.25,0
2024-03-12,FB_LATTE_VAN,retail,50,10.25,0
2024-03-13,FB_LATTE_VAN,retail,50,10.25,0
2024-03-14,FB_LATTE_VAN,retail,49,10.25,0
2024-03-15,FB_LATTE_VAN,retail,53,10.25,0
2024-03-16,FB_LATTE_VAN,retail,54,10.25,0
2024-03-17,FB_LATTE_VAN,retail,59,10.25,0
2024-03-18,FB_LATTE_VAN,retail,52,10.25,0
2024-03-19,FB_LATTE_VAN,retail,59,10.25,0
2024-03-20,FB_LATTE_VAN,retail,38,10.25,0
2024-03-21,FB_LATTE_VAN,retail,73,8.71,1
2024-03-22,FB_LATTE_VAN,retail,51,10.25,0
2024-03-23,FB_LATTE_VAN,retail,98,8.71,1
2024-03-24,FB_LATTE_VAN,retail,59,10.25,0
2024-03-25,FB_LATTE_VAN,retail,51,10.25,0
2024-03-26,FB_LATTE_VAN,retail,74,8.71,1
2024-03-27,FB_LATTE_VAN,retail,49,10.25,0
2024-03-28,FB_LATTE_VAN,retail,44,10.25,0
2024-03-29,FB_LATTE_VAN,retail,83,8.71,1
2024-03-30,FB_LATTE_VAN,retail,50,10.25,0
2024-03-31,FB_LATTE_VAN,retail,60,10.25,0
2024-04-01,FB_LATTE_VAN,retail,54,10.25,0
2024-04-02,FB_LATTE_VAN,retail,47,10.25,0
2024-04-03,FB_LATTE_VAN,retail,55,10.25,0
2024-04-04,FB_LATTE_VAN,retail,32,10.25,0
2024-04-05,FB_LATTE_VAN,retail,53,10.25,0
2024-04-06,FB_LATTE_VAN,retail,88,8.71,1
2024-04-07,FB_LATTE_VAN,retail,57,10.25,0
2024-04-08,FB_LATTE_VAN,retail,52,10.25,0
2024-04-09,FB_LATTE_VAN,retail,52,10.25,0
2024-04-10,FB_LATTE_VAN,retail,52,10.25,0
2024-04-11,FB_LATTE_VAN,retail,77,8.71,1
2024-04-12,FB_LATTE_VAN,retail,63,10.25,0
2024-04-13,FB_LATTE_VAN,retail,62,10.25,0
2024-04-14,FB_LATTE_VAN,retail,74,10.25,0
2024-04-15,FB_LATTE_VAN,retail,60,10.25,0
2024-04-16,FB_LATTE_VAN,retail,60,8.71,1
2024-04-17,FB_LATTE_VAN,retail,78,8.71,1
2024-04-18,FB_LATTE_VAN,retail,57,10.25,0
2024-04-19,FB_LATTE_VAN,retail,44,10.25,0
2024-04-20,FB_LATTE_VAN,retail,62,10.25,0
2024-04-21,FB_LATTE_VAN,retail,66,10.25,0
2024-04-22,FB_LATTE_VAN,retail,54,10.25,0
2024-04-23,FB_LATTE_VAN,retail,47,10.25,0
2024-04-24,FB_LATTE_VAN,retail,46,10.25,0
2024-04-25,FB_LATTE_VAN,retail,47,10.25,0
2024-04-26,FB_LATTE_VAN,retail,49,10.25,0
2024-04-27,FB_LATTE_VAN,retail,70,10.25,0
2024-04-28,FB_LATTE_VAN,retail,103,8.71,1
2024-04-29,FB_LATTE_VAN,retail,50,10.25,0
2024-04-30,FB_LATTE_VAN,retail,45,10.25,0
2024-05-01,FB_LATTE_VAN,retail,54,10.25,0
2024-05-02,FB_LATTE_VAN,retail,38,10.25,0
2024-05-03,FB_LATTE_VAN,retail,75,8.71,1
2024-05-04,FB_LATTE_VAN,retail,55,10.25,0
2024-05-05,FB_LATTE_VAN,retail,65,10.25,0
2024-05-06,FB_LATTE_VAN,retail,37,10.25,0
2024-05-07,FB_LATTE_VAN,retail,83,8.71,1
2024-05-08,FB_LATTE_VAN,retail,70,8.71,1
2024-05-09,FB_LATTE_VAN,retail,54,10.25,0
2024-05-10,FB_LATTE_VAN,retail,81,8.71,1
2024-05-11,FB_LATTE_VAN,retail,71,10.25,0
2024-05-12,FB_LATTE_VAN,retail,43,10.25,0
2024-05-13,FB_LATTE_VAN,retail,52,10.25,0
2024-05-14,FB_LATTE_VAN,retail,67,10.25,0
2024-05-15,FB_LATTE_VAN,retail,58,10.25,0
2024-05-16,FB_LATTE_VAN,retail,36,10.25,0
2024-05-17,FB_LATTE_VAN,retail,49,10.25,0
2024-05-18,FB_LATTE_VAN,retail,58,10.25,0
2024-05-19,FB_LATTE_VAN,retail,71,10.25,0
2024-05-20,FB_LATTE_VAN,retail,48,10.25,0
2024-05-21,FB_LATTE_VAN,retail,42,10.25,0
2024-05-22,FB_LATTE_VAN,retail,51,10.25,0
2024-05-23,FB_LATTE_VAN,retail,50,10.25,0
2024-05-24,FB_LATTE_VAN,retail,53,10.25,0
2024-05-25,FB_LATTE_VAN,retail,64,10.25,0
2024-05-26,FB_LATTE_VAN,retail,73,10.25,0
2024-05-27,FB_LATTE_VAN,retail,63,8.71,1
2024-05-28,FB_LATTE_VAN,retail,57,10.25,0
2024-05-29,FB_LATTE_VAN,retail,44,10.25,0
2024-05-30,FB_LATTE_VAN,retail,57,10.25,0
2024-05-31,FB_LATTE_VAN,retail,51,10.25,0
2024-06-01,FB_LATTE_VAN,retail,79,10.25,0
2024-06-02,FB_LATTE_VAN,retail,81,10.25,0
2024-06-03,FB_LATTE_VAN,retail,64,10.25,0
2024-06-04,FB_LATTE_VAN,retail,65,10.25,0
2024-06-05,FB_LATTE_VAN,retail,53,10.25,0
2024-06-06,FB_LATTE_VAN,retail,66,10.25,0
2024-06-07,FB_LATTE_VAN,retail,53,10.25,0
2024-06-08,FB_LATTE_VAN,retail,79,10.25,0
2024-06-09,FB_LATTE_VAN,retail,90,10.25,0
2024-06-10,FB_LATTE_VAN,retail,71,10.25,0
2024-06-11,FB_LATTE_VAN,retail,63,10.25,0
2024-06-12,FB_LATTE_VAN,retail,60,10.25,0
2024-06-13,FB_LATTE_VAN,retail,49,10.25,0
